sample	phase=warm-update-persistent-sparse-sequential	transport=document-opened-bytes-stream	index=12	elapsed_ms=0.005981
sample	phase=warm-update-persistent-sparse-sequential	transport=document-opened-bytes-stream	index=13	elapsed_ms=0.006111
sample	phase=warm-update-persistent-sparse-sequential	transport=document-opened-bytes-stream	index=14	elapsed_ms=0.006072
sample	phase=warm-update-persistent-sparse-sequential	transport=document-opened-bytes-stream	index=15	elapsed_ms=0.006102
sample	phase=warm-update-persistent-sparse-sequential	transport=document-opened-bytes-stream	index=16	elapsed_ms=0.005990
sample	phase=warm-update-persistent-sparse-sequential	transport=document-opened-bytes-stream	index=17	elapsed_ms=0.006012
sample	phase=warm-update-persistent-sparse-sequential	transport=document-opened-bytes-stream	index=18	elapsed_ms=0.006122
sample	phase=warm-update-persistent-sparse-sequential	transport=document-opened-bytes-stream	index=19	elapsed_ms=0.006141
sample	phase=warm-update-persistent-sparse-sequential	transport=document-opened-bytes-stream	index=20	elapsed_ms=0.006001
sample	phase=warm-update-persistent-sparse-sequential	transport=document-opened-bytes-stream	index=21	elapsed_ms=0.006231
sample	phase=warm-update-persistent-sparse-sequential	transport=document-opened-bytes-stream	index=22	elapsed_ms=0.006021
sample	phase=warm-update-persistent-sparse-sequential	transport=document-opened-bytes-stream	index=23	elapsed_ms=0.006031
sample	phase=warm-update-persistent-sparse-sequential	transport=document-opened-bytes-stream	index=24	elapsed_ms=0.006002
sample	phase=warm-update-persistent-sparse-sequential	transport=document-opened-bytes-stream	index=25	elapsed_ms=0.007855
sample	phase=warm-update-persistent-sparse-sequential	transport=document-opened-bytes-stream	index=26	elapsed_ms=0.010671
sample	phase=warm-update-persistent-sparse-sequential	transport=document-opened-bytes-stream	index=27	elapsed_ms=0.009819
sample	phase=warm-update-persistent-sparse-sequential	transport=document-opened-bytes-stream	index=28	elapsed_ms=0.011071
sample	phase=warm-update-persistent-sparse-sequential	transport=document-opened-bytes-stream	index=29	elapsed_ms=0.009539
sample	phase=warm-update-persistent-sparse-sequential	transport=document-opened-bytes-stream	index=30	elapsed_ms=0.009818
sample	phase=warm-update-persistent-sparse-sequential	transport=document-opened-bytes-stream	index=31	elapsed_ms=0.011181
sample	phase=warm-update-persistent-sparse-sequential	transport=document-opened-bytes-stream	index=32	elapsed_ms=0.006422
sample	phase=warm-update-persistent-sparse-sequential	transport=document-opened-bytes-stream	index=33	elapsed_ms=0.006111
sample	phase=warm-update-persistent-sparse-sequential	transport=document-opened-bytes-stream	index=34	elapsed_ms=0.006112
sample	phase=warm-update-persistent-sparse-sequential	transport=document-opened-bytes-stream	index=35	elapsed_ms=0.006032
sample	phase=warm-update-persistent-sparse-sequential	transport=document-opened-bytes-stream	index=36	elapsed_ms=0.006040
sample	phase=warm-update-persistent-sparse-sequential	transport=document-opened-bytes-stream	index=37	elapsed_ms=0.006001
sample	phase=warm-update-persistent-sparse-sequential	transport=document-opened-bytes-stream	index=38	elapsed_ms=0.006072
sample	phase=warm-update-persistent-sparse-sequential	transport=document-opened-bytes-stream	index=39	elapsed_ms=0.006091
sample	phase=warm-update-persistent-sparse-sequential	transport=document-opened-bytes-stream	index=40	elapsed_ms=0.006040
sample	phase=warm-update-persistent-sparse-sequential	transport=document-opened-bytes-stream	index=41	elapsed_ms=0.006092
sample	phase=warm-update-persistent-sparse-sequential	transport=document-opened-bytes-stream	index=42	elapsed_ms=0.006182
sample	phase=warm-update-persistent-sparse-sequential	transport=document-opened-bytes-stream	index=43	elapsed_ms=0.006041
sample	phase=warm-update-persistent-sparse-sequential	transport=document-opened-bytes-stream	index=44	elapsed_ms=0.006132
sample	phase=warm-update-persistent-sparse-sequential	transport=document-opened-bytes-stream	index=45	elapsed_ms=0.006081
