sample	phase=warm-update-persistent-sparse-sequential	transport=document-opened-bytes-stream	index=64	elapsed_ms=0.012003
sample	phase=warm-update-persistent-sparse-sequential	transport=document-opened-bytes-stream	index=65	elapsed_ms=0.008124
sample	phase=warm-update-persistent-sparse-sequential	transport=document-opened-bytes-stream	index=66	elapsed_ms=0.011542
sample	phase=warm-update-persistent-sparse-sequential	transport=document-opened-bytes-stream	index=67	elapsed_ms=0.012273
sample	phase=warm-update-persistent-sparse-sequential	transport=document-opened-bytes-stream	index=68	elapsed_ms=0.006683
sample	phase=warm-update-persistent-sparse-sequential	transport=document-opened-bytes-stream	index=69	elapsed_ms=0.006232
sample	phase=warm-update-persistent-sparse-sequential	transport=document-opened-bytes-stream	index=70	elapsed_ms=0.006151
sample	phase=warm-update-persistent-sparse-sequential	transport=document-opened-bytes-stream	index=71	elapsed_ms=0.006162
sample	phase=warm-update-persistent-sparse-sequential	transport=document-opened-bytes-stream	index=72	elapsed_ms=0.006152
sample	phase=warm-update-persistent-sparse-sequential	transport=document-opened-bytes-stream	index=73	elapsed_ms=0.006111
sample	phase=warm-update-persistent-sparse-sequential	transport=document-opened-bytes-stream	index=74	elapsed_ms=0.006142
sample	phase=warm-update-persistent-sparse-sequential	transport=document-opened-bytes-stream	index=75	elapsed_ms=0.006072
sample	phase=warm-update-persistent-sparse-sequential	transport=document-opened-bytes-stream	index=76	elapsed_ms=0.026300
sample	phase=warm-update-persistent-sparse-sequential	transport=document-opened-bytes-stream	index=77	elapsed_ms=0.013375
sample	phase=warm-update-persistent-sparse-sequential	transport=document-opened-bytes-stream	index=78	elapsed_ms=0.008305
sample	phase=warm-update-persistent-sparse-sequential	transport=document-opened-bytes-stream	index=79	elapsed_ms=0.006161
sample	phase=warm-update-persistent-sparse-sequential	transport=document-opened-bytes-stream	index=80	elapsed_ms=0.006202
sample	phase=warm-update-persistent-sparse-sequential	transport=document-opened-bytes-stream	index=81	elapsed_ms=0.006172
sample	phase=warm-update-persistent-sparse-sequential	transport=document-opened-bytes-stream	index=82	elapsed_ms=0.006142
sample	phase=warm-update-persistent-sparse-sequential	transport=document-opened-bytes-stream	index=83	elapsed_ms=0.006092
sample	phase=warm-update-persistent-sparse-sequential	transport=document-opened-bytes-stream	index=84	elapsed_ms=0.006082
sample	phase=warm-update-persistent-sparse-sequential	transport=document-opened-bytes-stream	index=85	elapsed_ms=0.006111
sample	phase=warm-update-persistent-sparse-sequential	transport=document-opened-bytes-stream	index=86	elapsed_ms=0.006172
sample	phase=warm-update-persistent-sparse-sequential	transport=document-opened-bytes-stream	index=87	elapsed_ms=0.006092
sample	phase=warm-update-persistent-sparse-sequential	transport=document-opened-bytes-stream	index=88	elapsed_ms=0.006182
sample	phase=warm-update-persistent-sparse-sequential	transport=document-opened-bytes-stream	index=89	elapsed_ms=0.006232
sample	phase=warm-update-persistent-sparse-sequential	transport=document-opened-bytes-stream	index=90	elapsed_ms=0.006221
sample	phase=warm-update-persistent-sparse-sequential	transport=document-opened-bytes-stream	index=91	elapsed_ms=0.006052
sample	phase=warm-update-persistent-sparse-sequential	transport=document-opened-bytes-stream	index=92	elapsed_ms=0.006101
sample	phase=warm-update-persistent-sparse-sequential	transport=document-opened-bytes-stream	index=93	elapsed_ms=0.006081
sample	phase=warm-update-persistent-sparse-sequential	transport=document-opened-bytes-stream	index=94	elapsed_ms=0.006062
sample	phase=warm-update-persistent-sparse-sequential	transport=document-opened-bytes-stream	index=95	elapsed_ms=0.006062
sample	phase=warm-update-persistent-sparse-sequential	transport=document-opened-bytes-stream	index=96	elapsed_ms=0.006131
sample	phase=warm-update-persistent-sparse-sequential	transport=document-opened-bytes-stream	index=97	elapsed_ms=0.006182
