backend,operation,pk,n,geometry,samples,wall_p50_ns,wall_p95_ns,cpu_p50_ns,cpu_p95_ns,rss_max_kb,read_objects_p50,read_bytes_p50,writes_p50,write_bytes_p50,object_bytes_p50,settled_bytes_p50
model,hash_diff_1pct,integer,50000,c2_slotted,20,92748234,94556105,92750000,94543000,190588,9806,10682386,0,0,4704661,0
model,hash_diff_1pct,integer,50000,crit_bit,20,62135539,65489541,62135000,65469000,320908,21460,3075334,0,0,16344388,0
model,hash_diff_1pct,integer,100000,c2_slotted,20,189005461,192069646,188968000,192014000,367028,19724,21510636,0,0,9415333,0
model,hash_diff_1pct,integer,100000,crit_bit,20,127919166,132664218,127919000,132620000,628392,42782,6173090,0,0,32858949,0
model,hash_diff_1pct,text,1000,c2_slotted,20,1963160,1980379,1963000,1981000,17256,230,224870,0,0,97616,0
model,hash_diff_1pct,text,1000,crit_bit,20,1073544,1204264,1072000,1203000,19772,410,61896,0,0,340064,0
model,hash_diff_1pct,text,10000,c2_slotted,20,19207513,20070470,19207000,20071000,49976,2182,2204439,0,0,970785,0
model,hash_diff_1pct,text,10000,crit_bit,20,12947085,13579382,12947000,13559000,75708,4598,696954,0,0,3422337,0
model,hash_diff_1pct,text,50000,c2_slotted,20,102354944,113502399,102305000,113438000,194964,10680,10806402,0,0,4852645,0
model,hash_diff_1pct,text,50000,crit_bit,20,67270590,69698227,67232000,69699000,325220,22792,3479656,0,0,17202615,0
model,hash_diff_1pct,text,100000,c2_slotted,20,208690370,216620351,208649000,216558000,371520,21460,21715053,0,0,9702123,0
model,hash_diff_1pct,text,100000,crit_bit,20,136126591,146519639,136106000,146501000,636440,45338,6929194,0,0,34427666,0
model,hash_diff_1pct,uuid,1000,c2_slotted,20,1937659,1983651,1936000,1984000,16940,218,255858,0,0,112220,0
model,hash_diff_1pct,uuid,1000,crit_bit,20,704666,764657,704000,764000,19624,410,76436,0,0,376033,0
model,hash_diff_1pct,uuid,10000,c2_slotted,20,19147993,19917409,19148000,19917000,49692,2108,2543944,0,0,1113180,0
